Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
4733203,2020-01-01T03:30:00Z,Strada Urbana,VIA LA SPEZIA,da specificare,,,,alt fermata autobus prima di LARGO BRINDISI,12.5108,41.8857
4733153,2020-01-01T03:50:00Z,Strada Urbana,VIA PRENESTINA,da specificare,,,,alt. Via Pomigliano d'Arco,12.6155,41.8933
4733125,2020-01-01T04:30:00Z,Strada Urbana,VIA APPIA NUOVA,da specificare,,,,altezza via Alba,12.5599,41.8262
4734835,2020-01-01T04:40:00Z,Strada Urbana,VIA DEGLI ALDOBRANDESCHI,all'intersezione con,VIA DI VILLA TROILI,VIA DI VILLA TROILI,,,12.3987,41.8791
4733336,2020-01-01T05:30:00Z,Strada Urbana,PIAZZA DI PORTA CAPENA,all'intersezione semaforizzata con,LARGO DELLE VITTIME DEL TERRORISMO,LARGO DELLE VITTIME DEL TERRORISMO,,,12.4901,41.8835
4733144,2020-01-01T05:50:00Z,Strada Urbana,VIA CASSIA,all'intersezione semaforizzata con,VIA DEI DUE PONTI,VIA DEI DUE PONTI,,,12.447,41.9633
4733439,2020-01-01T07:00:00Z,Strada Urbana,VIA LAURENTINA,da specificare,,,,rotatoria Via Tor Pagnotta dir. GRA,12.4822,41.8032
4733281,2020-01-01T07:35:00Z,Strada Urbana,VIALE CRISTOFORO COLOMBO,all'intersezione semaforizzata con,VIALE DELLA CIVILTA' DEL LAVORO,VIALE DELLA CIVILTA' DEL LAVORO,,,12.4713,41.835
4733169,2020-01-01T08:45:00Z,Strada Urbana,PIAZZALE LABICANO,all'intersezione con,VIALE DELLO SCALO S. LORENZO,VIALE DELLO SCALO S. LORENZO,,,12.5155,41.8922
4733334,2020-01-01T14:30:00Z,Strada Urbana,VIA DELLA GIUSTINIANA,all'intersezione con,VIA PIADENA,VIA PIADENA,,,12.4552,41.9947
4734431,2020-01-01T17:05:00Z,Strada Urbana,VIA TEODORICO,da specificare,,,,altezza Via Lorenzo il Magnifico,12.528,41.9111
4733178,2020-01-01T17:50:00Z,Strada Urbana,VIA IGINO GIORDANI,all'intersezione con,PIAZZA EDOARDO PERSICO,PIAZZA EDOARDO PERSICO,,,12.5597,41.9062
4733724,2020-01-01T21:30:00Z,Strada Urbana,VIA DI VILLA ADA,all'intersezione con,VIA LARIANA,VIA LARIANA,,,12.5052,41.9245
4733366,2020-01-01T21:40:00Z,Strada Urbana,PIAZZALE OSTIENSE,all'intersezione semaforizzata con,VIA RAFFAELE PERSICHETTI,VIA RAFFAELE PERSICHETTI,,,12.4819,41.8763
4733218,2020-01-01T23:30:00Z,,VIA APPIA NUOVA,all'intersezione con,VIA DON ORIONE,VIA DON ORIONE,,,12.5169,41.8794
4733194,2020-01-01T23:45:00Z,Strada Urbana,VIA DEI MONTI TIBURTINI,all'intersezione semaforizzata con,VIA FILIPPO MEDA,VIA FILIPPO MEDA,,,12.5476,41.9156
4733149,2020-01-01T23:50:00Z,Strada Urbana,VIA CASILINA,all'intersezione con,VIA ENRICO GIGLIOLI,VIA ENRICO GIGLIOLI,,,12.6199,41.8628
4733449,2020-01-02T00:10:00Z,Strada Urbana,VIA DEL VIMINALE,all'intersezione con,VIA TORINO,VIA TORINO,,,12.4963,41.9005
4733793,2020-01-02T02:00:00Z,Strada Urbana,VIA GIOVANNI VITELLESCHI,all'intersezione con,VIA DEI BASTIONI,VIA DEI BASTIONI,,,12.462,41.9046
4733166,2020-01-02T06:40:00Z,Strada Urbana,VIA MACEDONIA,all'intersezione semaforizzata con,VIA LATINA,VIA LATINA,,,12.5118,41.8737
4734489,2020-01-02T07:30:00Z,Strada Urbana,PIAZZALE DI PORTA PIA,all'intersezione semaforizzata con,CORSO D'ITALIA,CORSO D'ITALIA,,,12.5014,41.9096
4734359,2020-01-02T10:00:00Z,Strada Urbana,VIA FABRIZIO LUSCINO,all'intersezione con,VIA LUCIO SESTIO,VIA LUCIO SESTIO,,,12.5542,41.8568
4733520,2020-01-02T10:10:00Z,Strada Urbana,PIAZZA BUENOS AIRES,all'intersezione semaforizzata con,VIA PO,VIA PO,,,12.5002,41.9182
4733770,2020-01-02T10:10:00Z,Strada Urbana,PIAZZA DEI GIURECONSULTI,all'intersezione con,VIA DI BOCCEA,VIA DI BOCCEA,,,12.4257,41.9019
4734361,2020-01-02T10:30:00Z,Strada Urbana,VIA DI PORTONACCIO,da specificare,,,,prossimità via di Casal Bertone,12.5378,41.8991
4734580,2020-01-02T10:45:00Z,Strada Urbana,VIA MARCANTONIO COLONNA,all'intersezione con,VIA DEGLI SCIPIONI,VIA DEGLI SCIPIONI,,,12.4666,41.9106
4734537,2020-01-02T11:05:00Z,Strada Urbana,PIAZZA DELLE CINQUE GIORNATE,all'intersezione con,VIALE DELLE MILIZIE,VIALE DELLE MILIZIE,,,12.4695,41.914
4734304,2020-01-02T11:45:00Z,Strada Urbana,VIA PRENESTINA,all'intersezione con,VIA DI TOR SAPIENZA,VIA DI TOR SAPIENZA,,,12.5924,41.8941
4734654,2020-01-02T11:50:00Z,Strada Urbana,CIRCONVALLAZIONE GIANICOLENSE,all'intersezione con,VIA BERNARDINO RAMAZZINI,VIA BERNARDINO RAMAZZINI,,,12.4496,41.8725
4734314,2020-01-02T12:00:00Z,Strada Urbana,VIA DELLA MAGLIANA,da specificare,,,,prox. civ. 313 (curva per Viadotto della Magliana),12.4196,41.8317
4734002,2020-01-02T14:00:00Z,Strada Urbana,VICOLO DI PAPA LEONE,all'intersezione con,VIALE ISACCO NEWTON,VIALE ISACCO NEWTON,,,12.4447,41.8434
4735006,2020-01-02T17:15:00Z,Strada Urbana,VIALE ANGELICO,all'intersezione semaforizzata con,VIALE CARSO,VIALE CARSO,,,12.4588,41.9189
4734299,2020-01-02T18:51:00Z,Strada Urbana,VIALE DUILIO CAMBELLOTTI,da specificare,,,,dir. Oxford uscita Via Casilina,12.6297,41.8674
4734380,2020-01-02T19:35:00Z,Strada Urbana,VIA MATTIA BATTISTINI,all'intersezione con,VIA ENNIO BONIFAZI,VIA ENNIO BONIFAZI,,,12.4184,41.9139
4734354,2020-01-02T20:05:00Z,Strada Urbana,VIA STEFANO BORGIA,all'intersezione con,VIA BEATA VIRGINIA CENTURIONE BRACELLI,VIA BEATA VIRGINIA CENTURIONE BRACELLI,,,12.417,41.9199
4735633,2020-01-03T08:20:00Z,Strada Urbana,VIA ITALO PANATTONI,all'intersezione con,VIA DELL'ACQUA TRAVERSA,VIA DELL'ACQUA TRAVERSA,,,12.4462,41.9591
4739190,2020-01-03T08:30:00Z,Strada Urbana,VIA DEGLI ALDOBRANDESCHI,all'intersezione con,VIA DELLA VIGNACCIA,VIA DELLA VIGNACCIA,,,12.3987,41.8791
4734713,2020-01-03T09:15:00Z,Strada Urbana,PIAZZA DI S. MARTINO AI MONTI,all'intersezione con,VIA GIOVANNI LANZA,VIA GIOVANNI LANZA,,,12.4979,41.895
4738669,2020-01-03T09:15:00Z,Strada Urbana,VIA CAMESENA,all'intersezione con,LARGO CAMESENA,LARGO CAMESENA,,,12.5348,41.9091
4734579,2020-01-03T09:55:00Z,Strada Urbana,VIA CINCINNATO,all'intersezione con,VIA CERERE,VIA CERERE,,,12.5485,41.8667
4739201,2020-01-03T11:40:00Z,Strada Urbana,VIA BERNARDINO RAMAZZINI,all'intersezione semaforizzata con,VIA DI VAL TELLINA,VIA DI VAL TELLINA,,,12.4505,41.8666
4735101,2020-01-03T11:50:00Z,Strada Urbana,PIAZZA DI PORTA CAPENA,all'intersezione semaforizzata con,VIALE AVENTINO,VIALE AVENTINO,,,12.489,41.8842
4735657,2020-01-03T11:55:00Z,Strada Urbana,VIALE DELL'OCEANO PACIFICO,all'intersezione con,VIALE DEI PRIMATI SPORTIVI,VIALE DEI PRIMATI SPORTIVI,,,12.4587,41.8225
4736637,2020-01-03T12:50:00Z,Strada Urbana,VIA QUINTO PUBLICIO,all'intersezione con,VIA VINCENZO LAMARO,VIA VINCENZO LAMARO,,,12.5754,41.8561
4736639,2020-01-03T13:00:00Z,Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIA LUCIO SESTIO,VIA LUCIO SESTIO,,,12.557,41.8597
4735093,2020-01-03T13:30:00Z,Strada Urbana,VIA DI BOCCEA,all'intersezione con,VIA DEL QUARTACCIO,VIA DEL QUARTACCIO,,,12.3847,41.9149
4736181,2020-01-03T13:30:00Z,Strada Urbana,VIALE DELLE MILIZIE,da specificare,,,,ALTEZZA VIA GIUSEPPE FERRARI,12.4653,41.9129
4736704,2020-01-03T13:30:00Z,Strada Urbana,VIA DOMENICO TARDINI,all'intersezione con,VIA FRANCESCO ALBERGOTTI,VIA FRANCESCO ALBERGOTTI,,,12.4254,41.9045
4736292,2020-01-03T13:35:00Z,Strada Urbana,VIA ARTURO GRAF,all'intersezione con,VIA NOMENTANA,VIA NOMENTANA,,,12.5728,41.9579
4735631,2020-01-03T16:30:00Z,Strada Urbana,PIAZZALE OSTIENSE,all'intersezione con,VIALE MARCO POLO,VIALE MARCO POLO,,,12.4832,41.8761
4736308,2020-01-03T17:00:00Z,Provinciale entro l'abitato,VIA NOMENTANA,da specificare,,,,all'intersezione con LARGO GIAMPIERO ARCI,12.5673,41.9507
4735669,2020-01-03T17:30:00Z,Strada Urbana,VIA TEVERE,all'intersezione con,VIA ANIENE,VIA ANIENE,,,12.4969,41.9117
4735604,2020-01-03T17:35:00Z,Strada Urbana,VIA ALBANO,all'intersezione con,VIA GENZANO,VIA GENZANO,,,12.5322,41.8696
4739245,2020-01-03T18:40:00Z,Strada Urbana,CIRCONVALLAZIONE GIANICOLENSE,all'intersezione semaforizzata con,VIA DI MONTE VERDE,VIA DI MONTE VERDE,,,12.4496,41.8725
4739074,2020-01-03T18:50:00Z,Strada Urbana,VIA FRANCESCO VITALINI,all'intersezione con,VIA PIETRO CASTELLI,VIA PIETRO CASTELLI,,,12.6101,41.9075
4735559,2020-01-03T19:35:00Z,Strada Urbana,VIA LUDOVISI,all'intersezione con,VIA VITTORIO VENETO,VIA VITTORIO VENETO,,,12.4899,41.9074
4735608,2020-01-03T20:50:00Z,Strada Urbana,VIA DI TOR BELLA MONACA,all'intersezione con,VIA AMICO ASPERTINI,VIA AMICO ASPERTINI,,,12.6281,41.8764
4735602,2020-01-03T23:10:00Z,Strada Urbana,VIALE LEONARDO DA VINCI,all'intersezione semaforizzata con,LARGO LEONARDO DA VINCI,LARGO LEONARDO DA VINCI,,,12.4809,41.8568
4738433,2020-01-04T01:00:00Z,Strada Urbana,VIA NOMENTANA,all'intersezione semaforizzata con,VIALE REGINA MARGHERITA,VIALE REGINA MARGHERITA,,,12.5067,41.9129
4738766,2020-01-04T03:30:00Z,Strada Urbana,VIA MORROVALLE,all'intersezione con,VIA PIEVEBOVIGLIANA,VIA PIEVEBOVIGLIANA,,,12.586,41.9398
4738798,2020-01-04T06:15:00Z,Strada Urbana,VIA TIBURTINA,all'intersezione con,VIA SAMBUCI,VIA SAMBUCI,,,12.6125,41.9359
4735851,2020-01-04T08:50:00Z,Strada Urbana,PIAZZA PAOLO DIACONO,da specificare,,,,fronte VIA CESARE BARONIO,12.5163,41.8699
4736224,2020-01-04T09:40:00Z,Strada Urbana,VIALE DELLA SORBONA,da specificare,,,,prossimità via stanford,12.612,41.8546
4735877,2020-01-04T11:10:00Z,Statale entro l'abitato,VIA CASILINA,all'intersezione semaforizzata con,VIA DI CENTOCELLE,VIA DI CENTOCELLE,,,12.553,41.8767
4736319,2020-01-04T11:40:00Z,Strada Urbana,VIA DELLE VIGNE NUOVE,all'intersezione con,VIALE FRANCESCO PASINETTI,VIALE FRANCESCO PASINETTI,,,12.5358,41.9554
4738797,2020-01-04T14:20:00Z,Strada Urbana,VIA DI TOR CERVARA,all'intersezione con,VIA COMASTA,VIA COMASTA,,,12.5895,41.9183
4738805,2020-01-04T14:45:00Z,Strada Urbana,VIA DELLA VANGA,all'intersezione con,VIA DEL BADILE,VIA DEL BADILE,,,12.5629,41.9111
4738744,2020-01-04T15:45:00Z,Strada Urbana,VIALE VAL PADANA,all'intersezione con,VIA VALLE VERMIGLIO,VIA VALLE VERMIGLIO,,,12.5231,41.9426
4738854,2020-01-04T15:55:00Z,Strada Urbana,VIA DEI GRACCHI,all'intersezione con,VIA SILLA,VIA SILLA,,,12.46,41.9074
4738928,2020-01-04T16:09:00Z,Strada Urbana,VIA SABOTINO,all'intersezione con,VIA MONTE SANTO,VIA MONTE SANTO,,,12.4602,41.9168
4738934,2020-01-04T16:35:00Z,Strada Urbana,VIA CRESCENZIO,all'intersezione con,VIA ORAZIO,VIA ORAZIO,,,12.4672,41.9055
4738993,2020-01-04T17:55:00Z,Strada Urbana,VIA COLA DI RIENZO,all'intersezione semaforizzata con,VIA TERENZIO,VIA TERENZIO,,,12.4628,41.9074
4736656,2020-01-04T19:25:00Z,Strada Urbana,VIA DI BOCCEA,all'intersezione semaforizzata con,VIA CORNELIA,VIA CORNELIA,,,12.3847,41.9149
4738313,2020-01-04T21:40:00Z,Strada Urbana,VIA DELLA MAGLIANA,all'intersezione con,VIA LUIGI DASTI,VIA LUIGI DASTI,,,12.4196,41.8317
4736626,2020-01-04T22:05:00Z,Strada Urbana,VIA CASILINA,da specificare,,,,prossimità via Bolognetta,12.6199,41.8628
4736627,2020-01-04T22:30:00Z,Strada Urbana,VIA COLLATINA,all'intersezione con,VIA CELESTINO ROSATELLI,VIA CELESTINO ROSATELLI,,,12.6638,41.9183
4739379,2020-01-05T03:30:00Z,Strada Urbana,VIA AURELIA ANTICA,all'intersezione con,VIA GIUSEPPE SPINA,VIA GIUSEPPE SPINA,,,12.435,41.8902
4738392,2020-01-05T09:10:00Z,Strada Urbana,VIALE PIETRO ANDERLONI,all'intersezione con,VIA AMICO ASPERTINI,VIA AMICO ASPERTINI,,,12.6298,41.8747
4738907,2020-01-05T11:40:00Z,Strada Urbana,VIA TIBURTINA,da specificare,,,,altezza Piazzale Valerio Massimo,12.5221,41.9058
4737007,2020-01-05T12:00:00Z,Strada Urbana,VIA ASCONIO PEDIANO,all'intersezione con,VIA COLUMELLA,VIA COLUMELLA,,,12.5496,41.8661
4739090,2020-01-05T12:38:00Z,Strada Urbana,VIA DELLA MELORIA,all'intersezione con,VIA RUGGERO FIORE,VIA RUGGERO FIORE,,,12.4471,41.9066
4739205,2020-01-05T14:30:00Z,Strada Urbana,VIA COLA DI RIENZO,all'intersezione con,VIA TACITO,VIA TACITO,,,12.4667,41.9083
4737255,2020-01-05T14:50:00Z,Strada Urbana,VIA TEANO,all'intersezione con,VIA AQUILONIA,VIA AQUILONIA,,,12.55,41.8895
4738777,2020-01-05T15:15:00Z,Strada Urbana,VIA FRANCESCO CRUCITTI,da specificare,,,,in prox Via Pineta Sacchetti dir. Via Trionfale,12.4274,41.9303
4737048,2020-01-05T15:30:00Z,Strada Urbana,VIA FABRIZIO LUSCINO,all'intersezione con,VIA VALERIO PUBLICOLA,VIA VALERIO PUBLICOLA,,,12.5561,41.8558
4738793,2020-01-05T18:55:00Z,Strada Urbana,VIA TORRESINA,all'intersezione con,VIA ANDREA BARBATO,VIA ANDREA BARBATO,,,12.4018,41.9308
4738755,2020-01-05T19:50:00Z,Statale entro l'abitato,VIA AURELIA,all'intersezione semaforizzata con,VIA NICOLA LOMBARDI,VIA NICOLA LOMBARDI,,,12.4177,41.8952
4737872,2020-01-05T23:00:00Z,Strada Urbana,VIA DEL FORO ITALICO,all'intersezione semaforizzata con,VIA DEI MONTI DELLA FARNESINA,VIA DEI MONTI DELLA FARNESINA,,,12.4828,41.94
4738199,2020-01-05T23:55:00Z,Strada Urbana,VIALE ANICIO GALLO,all'intersezione con,VIALE TITO LABIENO,VIALE TITO LABIENO,,,12.5639,41.8526
4739910,2020-01-06T00:35:00Z,Strada Urbana,VIA AURELIA ANTICA,all'intersezione semaforizzata con,LARGO DON LUIGI GUANELLA,LARGO DON LUIGI GUANELLA,,,12.435,41.8902
4738836,2020-01-06T07:00:00Z,Strada Urbana,VIA TIBURTINA,all'intersezione semaforizzata con,PIAZZA DI S. MARIA DEL SOCCORSO,PIAZZA DI S. MARIA DEL SOCCORSO,,,12.5613,41.9156
4738890,2020-01-06T11:05:00Z,Strada Urbana,VIA BALDO DEGLI UBALDI,all'intersezione semaforizzata con,VIALE DI VALLE AURELIA,VIALE DI VALLE AURELIA,,,12.4386,41.9012
4738740,2020-01-06T11:15:00Z,Strada Urbana,VIALE LEONARDO DA VINCI,all'intersezione con,VIA ANTONINO PIO,VIA ANTONINO PIO,,,12.4803,41.8528
4738327,2020-01-06T11:55:00Z,Strada Urbana,VIA ANTONIO PACINOTTI,all'intersezione con,VIA DI PIETRA PAPA,VIA DI PIETRA PAPA,,,12.4675,41.871
4738695,2020-01-06T12:05:00Z,Strada Urbana,PIAZZA DEI CONDOTTIERI,all'intersezione con,VIA DEL PIGNETO,VIA DEL PIGNETO,,,12.5348,41.887
4738603,2020-01-06T12:40:00Z,Strada Urbana,VIA ATTAVANTE DEGLI ATTAVANTI,all'intersezione con,VIA NICOLA SCARANO,VIA NICOLA SCARANO,,,12.6228,41.8669
4739202,2020-01-06T15:39:00Z,Strada Urbana,LARGO ENRICO BERLINGUER,all'intersezione con,VIA DI S. VENANZIO,VIA DI S. VENANZIO,,,12.481,41.8952
4739618,2020-01-06T16:00:00Z,Strada Urbana,VIA GERMANICO,all'intersezione con,VIA CAIO MARIO,VIA CAIO MARIO,,,12.4597,41.9082
4738983,2020-01-06T16:05:00Z,Strada Urbana,VIA MONTE BIANCO,all'intersezione con,VIALE PANTELLERIA,VIALE PANTELLERIA,,,12.531,41.9439
4738646,2020-01-06T16:07:00Z,Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione semaforizzata con,VIA ERMANNO WOLF FERRARI,VIA ERMANNO WOLF FERRARI,,,12.4536,41.8089
4738833,2020-01-06T17:15:00Z,Strada Urbana,VIA DELLE CASE ROSSE,all'intersezione con,VIA CIVITACAMPOMARANO,VIA CIVITACAMPOMARANO,,,12.643,41.9318
4738641,2020-01-06T18:00:00Z,Strada Urbana,VIA SCRIBONIO CURIONE,all'intersezione semaforizzata con,VIA DI CENTOCELLE,VIA DI CENTOCELLE,,,12.5549,41.8652
4739703,2020-01-06T18:20:00Z,Strada Urbana,VIA CANDIA,all'intersezione con,VIA LEONE IV,VIA LEONE IV,,,12.4554,41.9087
4739168,2020-01-07T00:25:00Z,Strada Urbana,VIA DI PORTA PINCIANA,da specificare,,,,in prossimità di via Lombardia,12.4865,41.9077
4738730,2020-01-07T00:40:00Z,Provinciale entro l'abitato,VIA PRENESTINA,all'intersezione con,VIALE RONCHI,VIALE RONCHI,,,12.6155,41.8933
4740568,2020-01-07T07:45:00Z,Strada Urbana,VIA UGO OJETTI,all'intersezione con,VIA GIACOMO ZANELLA,VIA GIACOMO ZANELLA,,,12.5546,41.947
4740658,2020-01-07T08:00:00Z,Strada Urbana,VIA ADA NEGRI,all'intersezione con,VIA LUIGI PIRANDELLO,VIA LUIGI PIRANDELLO,,,12.5617,41.9474
4740513,2020-01-07T08:15:00Z,Strada Urbana,VIA DELLA MAGLIANA,all'intersezione con,VIA LUIGI CANDONI,VIA LUIGI CANDONI,,,12.4196,41.8317
4739007,2020-01-07T08:25:00Z,Strada Urbana,VIA DEI GENIERI,all'intersezione con,VIA DEI CADUTI DEL MONTE SERRA,VIA DEI CADUTI DEL MONTE SERRA,,,12.4935,41.8125
4798292,2020-01-07T08:25:00Z,Strada Urbana,VIA ALATRI,all'intersezione con,PIAZZA SABAUDIA,PIAZZA SABAUDIA,,,12.558,41.8932
4739222,2020-01-07T08:30:00Z,Strada Urbana,VIA DON CARLO GNOCCHI,all'intersezione con,LARGO BEATA TERESA VERZERI,LARGO BEATA TERESA VERZERI,,,12.3943,41.9114
4739068,2020-01-07T09:15:00Z,Strada Urbana,VIA DI TORRE SPACCATA,all'intersezione con,VIA FRANCESCO MEATTINI,VIA FRANCESCO MEATTINI,,,12.5803,41.851
4740588,2020-01-07T09:55:00Z,Provinciale entro l'abitato,VIA NOMENTANA,da specificare,,,,in prossimità fronte via EMILIO DE MARCHI,12.5728,41.9579
4740507,2020-01-07T10:15:00Z,Strada Urbana,VIA PRENESTINA,all'intersezione con,VIALE PALMIRO TOGLIATTI,VIALE PALMIRO TOGLIATTI,,,12.5752,41.8949
4739604,2020-01-07T11:10:00Z,Strada Urbana,PIAZZALE LABICANO,da specificare,,,,fronte via Casilina,12.5156,41.8912
4740584,2020-01-07T11:40:00Z,Strada Urbana,VIA DELLA PINETA SACCHETTI,da specificare,,,,prossimità VIA DI S. CLETO PAPA,12.425,41.924
4739669,2020-01-07T11:50:00Z,Strada Urbana,PIAZZA ZAMA,all'intersezione con,VIA SATRICO,VIA SATRICO,,,12.5094,41.8762
4740749,2020-01-07T12:00:00Z,Strada Urbana,PIAZZA GIUSEPPE PRIMOLI,all'intersezione con,VIA UGO OJETTI,VIA UGO OJETTI,,,12.5526,41.945
4740585,2020-01-07T12:20:00Z,Strada Urbana,VIA MARISA BELLISARIO,all'intersezione con,VIA PRENESTINA,VIA PRENESTINA,,,12.6075,41.8831
4739716,2020-01-07T12:35:00Z,Strada Urbana,VIA EMANUELE FILIBERTO,all'intersezione semaforizzata con,VIA STATILIA,VIA STATILIA,,,12.507,41.8899
4740669,2020-01-07T13:00:00Z,Strada Urbana,LUNGOTEVERE MARESCIALLO CADORNA,all'intersezione semaforizzata con,PIAZZALE MARESCIALLO GIARDINO,PIAZZALE MARESCIALLO GIARDINO,,,12.4585,41.9265
4740079,2020-01-07T13:10:00Z,Strada Urbana,VIA DEI CERCHI,all'intersezione semaforizzata con,VIA DELL'ARA MASSIMA DI ERCOLE,VIA DELL'ARA MASSIMA DI ERCOLE,,,12.4832,41.8881
4740120,2020-01-07T13:30:00Z,Strada Urbana,VIA APPIA NUOVA,da specificare,,,,fronte VIA SALUZZO,12.518,41.8786
4740400,2020-01-07T14:30:00Z,Strada Urbana,LARGO MAESTRI DEL LAVORO,all'intersezione con,VIALE GUGLIELMO MARCONI,VIALE GUGLIELMO MARCONI,,,12.4745,41.849
4740600,2020-01-07T14:40:00Z,Strada Urbana,VIALE PALMIRO TOGLIATTI,all'intersezione con,VIALE FERNANDO SANTI,VIALE FERNANDO SANTI,,,12.5699,41.9144
4740093,2020-01-07T15:45:00Z,Strada Urbana,VIALE AVENTINO,all'intersezione semaforizzata con,PIAZZA DI PORTA CAPENA,PIAZZA DI PORTA CAPENA,,,12.4864,41.8824
4740909,2020-01-07T17:15:00Z,Strada Urbana,VIA NOMENTANA,all'intersezione con,VIA ALESSANDRO TORLONIA,VIA ALESSANDRO TORLONIA,,,12.5114,41.9162
4740013,2020-01-07T17:25:00Z,Strada Urbana,LARGO DI VIGNA STELLUTI,all'intersezione con,VIA GIUSTINO FORTUNATO,VIA GIUSTINO FORTUNATO,,,12.4667,41.9475
4740583,2020-01-07T17:40:00Z,Strada Urbana,VIA DI PORTONACCIO,all'intersezione con,LARGO GIOVANNI PITTALUGA,LARGO GIOVANNI PITTALUGA,,,12.5375,41.8994
4740491,2020-01-07T17:45:00Z,Strada Urbana,VIA FRANCESCO PALLAVICINI,all'intersezione con,VIA LEOPOLDO RUSPOLI,VIA LEOPOLDO RUSPOLI,,,12.4541,41.859
4740700,2020-01-07T17:45:00Z,Strada Urbana,LUNGOTEVERE GUGLIELMO OBERDAN,all'intersezione con,PIAZZA DEL FANTE,PIAZZA DEL FANTE,,,12.4674,41.9212
4740769,2020-01-07T18:30:00Z,Strada Urbana,VIA SALARIA,da specificare,,,,svincolo via dei prati fiscali,12.5115,41.9873
4740494,2020-01-07T18:40:00Z,Strada Urbana,LUNGOTEVERE DE' CENCI,all'intersezione semaforizzata con,PONTE GARIBALDI,PONTE GARIBALDI,,,12.4747,41.8918
4740409,2020-01-07T19:15:00Z,Strada Urbana,VIA ANDREA NOALE,da specificare,,,,a 500mt dalla rotatoria con VIA DI SALONE,12.6243,41.9154
4740447,2020-01-07T19:30:00Z,Strada Urbana,VIA PORTUENSE,all'intersezione con,VIA GIACOMO FOLCHI,VIA GIACOMO FOLCHI,,,12.414,41.8469
4740714,2020-01-07T19:30:00Z,Strada Urbana,VIA MATTIA BATTISTINI,all'intersezione semaforizzata con,VIA DEL FORTE BRASCHI,VIA DEL FORTE BRASCHI,,,12.4186,41.9127
4740791,2020-01-07T19:40:00Z,Strada Urbana,PONTE VITTORIO EMANUELE II,all'intersezione semaforizzata con,LUNGOTEVERE DEI FIORENTINI,LUNGOTEVERE DEI FIORENTINI,,,12.4645,41.901
4740566,2020-01-07T19:50:00Z,Strada Urbana,VIA UGENTO,all'intersezione con,VIA OSTUNI,VIA OSTUNI,,,12.5777,41.8914
4740651,2020-01-07T20:15:00Z,Strada Urbana,VIA PRENESTINA,all'intersezione con,VIALE PALMIRO TOGLIATTI,VIALE PALMIRO TOGLIATTI,,,12.5746,41.8952
4741072,2020-01-07T21:45:00Z,Strada Urbana,CORSO DI FRANCIA,da specificare,,,,alt. XVII OLIMPIADE dir. VIA FLAMINIA,12.4717,41.9367
4741076,2020-01-07T22:15:00Z,Strada Urbana,VIA PO,all'intersezione con,VIA ISONZO,VIA ISONZO,,,12.4959,41.9151
4740991,2020-01-08T04:05:00Z,Strada Urbana,VIA AURELIA,all'intersezione semaforizzata con,CIRCONVALLAZIONE CORNELIA,CIRCONVALLAZIONE CORNELIA,,,12.3618,41.8851
4741488,2020-01-08T08:05:00Z,Strada Urbana,PIAZZA CAPRANICA,all'intersezione con,VIA DEL COLLEGIO CAPRANICA,VIA DEL COLLEGIO CAPRANICA,,,12.4777,41.8999
4740641,2020-01-08T08:15:00Z,Strada Urbana,VIALE CORTINA D'AMPEZZO,all'intersezione con,VIA COURMAYEUR,VIA COURMAYEUR,,,12.4437,41.9478
4742196,2020-01-08T08:20:00Z,Statale entro l'abitato,VIA CASILINA,da specificare,,,,in prossimità di VIA DI TORRENOVA,12.6199,41.8628
4742335,2020-01-08T08:30:00Z,Autostrada,VIA NOMENTANA,da specificare,,,,in prossimità via val d'aosta,12.527,41.9307
4742354,2020-01-08T09:30:00Z,Strada Urbana,VIA TIBURTINA,all'intersezione con,VIA DEL CASALE DI S. BASILIO,VIA DEL CASALE DI S. BASILIO,,,12.5848,41.9326
4742361,2020-01-08T09:45:00Z,Strada Urbana,VIA DELLA MARCIGLIANA,da specificare,,,,in prossimità di VIA DI TOR SAN GIOVANNI,12.5457,42.0061
4742405,2020-01-08T10:30:00Z,Strada Urbana,PIAZZALE CLODIO,da specificare,,,,fronte via Golametto,12.4533,41.9159
4741404,2020-01-08T11:00:00Z,Strada Urbana,VIA DELLA GRECA,all'intersezione semaforizzata con,PIAZZA DELLA BOCCA DELLA VERITA',PIAZZA DELLA BOCCA DELLA VERITA',,,12.4822,41.8873
4742183,2020-01-08T11:00:00Z,Strada Urbana,VIA DI TOR VERGATA,all'intersezione con,VIALE DELLA SORBONA,VIALE DELLA SORBONA,,,12.6226,41.8468
4740976,2020-01-08T11:10:00Z,Strada Urbana,VIA TOR DE' SCHIAVI,all'intersezione con,VIA ALATRI,VIA ALATRI,,,12.5595,41.8935
4741656,2020-01-08T11:40:00Z,Strada Urbana,VIA SALARIA,da specificare,,,,prov. FORO ITALICO fronte VIALE SOMALIA,12.5089,41.9359
4743688,2020-01-08T12:30:00Z,Strada Urbana,VIALE SS. PIETRO E PAOLO,all'intersezione con,VIA DEL GIORDANO,VIA DEL GIORDANO,,,12.4598,41.8329
