Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
5462473,2021-06-13T11:00:00Z,Strada Urbana,VIA DELLA CASETTA MATTEI,all'intersezione con,VIA DEI BUONVISI,VIA DEI BUONVISI,,,12.4196,41.8579
5462484,2021-06-13T11:10:00Z,Strada Urbana,VIALE ANTONIO CIAMARRA,all'intersezione con,VIA STEFANO OBERTO,VIA STEFANO OBERTO,,,12.5908,41.8471
5462407,2021-06-13T15:25:00Z,Strada Urbana,VIA WALTER TOBAGI,all'intersezione semaforizzata con,VIA CASILINA,VIA CASILINA,,,12.5973,41.8753
5463490,2021-06-13T17:55:00Z,Strada Urbana,LUNGOTEVERE DEI MELLINI,all'intersezione semaforizzata con,VIA VITTORIA COLONNA,VIA VITTORIA COLONNA,,,12.4729,41.9075
5461996,2021-06-13T18:20:00Z,Strada Urbana,VIA PRENESTINA,all'intersezione semaforizzata con,VIA COLLATINA,VIA COLLATINA,,,12.563,41.895
5462707,2021-06-13T19:55:00Z,Strada Urbana,VIA ANTONIO PANIZZI,da specificare,,,,prossimità via Casal del Marmo,12.4025,41.9559
5463568,2021-06-13T20:05:00Z,Strada Urbana,PIAZZALE DEL VERANO,all'intersezione con,PIAZZALE DI S. LORENZO,PIAZZALE DI S. LORENZO,,,12.5188,41.9016
5462529,2021-06-13T20:20:00Z,Strada Urbana,VIA DEL FORO ITALICO,all'intersezione semaforizzata con,VIA DEI MONTI DELLA FARNESINA,VIA DEI MONTI DELLA FARNESINA,,,12.455,41.9366
5462555,2021-06-13T20:30:00Z,Strada Urbana,VIA ISOLA BELLA,all'intersezione con,VIA MONTASIO,VIA MONTASIO,,,12.5395,41.9394
5462613,2021-06-13T21:50:00Z,Strada Urbana,VIA GAETA,all'intersezione con,VIA VOLTURNO,VIA VOLTURNO,,,12.502,41.9056
5463210,2021-06-13T23:00:00Z,Strada Urbana,VIALE PALMIRO TOGLIATTI,all'intersezione con,PIAZZALE PINO PASCALI,PIAZZALE PINO PASCALI,,,12.5756,41.897
5462455,2021-06-14T00:15:00Z,Strada Urbana,VIA OTRICOLI,da specificare,,,,prosssimità VIA ASSISI,12.5302,41.8815
5464451,2021-06-14T03:00:00Z,Strada Urbana,VIA VAL D'ALA,da specificare,,,,fronte via Valsavaranche,12.5152,41.9435
5465889,2021-06-14T07:15:00Z,Strada Urbana,VIA CRISTOFORO COLOMBO,da specificare,,,,prossimità VIALE AMERICA,12.4683,41.8295
5464278,2021-06-14T08:15:00Z,Strada Urbana,VIALE PICO DELLA MIRANDOLA,all'intersezione con,VIA AUGUSTO VERA,VIA AUGUSTO VERA,,,12.4862,41.8461
5462880,2021-06-14T08:25:00Z,Strada Urbana,VIA BUONARROTI,all'intersezione con,VIA FERRUCCIO,VIA FERRUCCIO,,,12.5036,41.893
5463247,2021-06-14T08:50:00Z,Strada Urbana,VIA DI PORTA FURBA,all'intersezione con,VIA TUSCOLANA,VIA TUSCOLANA,,,12.538,41.8693
5463705,2021-06-14T08:50:00Z,Strada Urbana,VIA CASSIODORO,all'intersezione con,VIA OVIDIO,VIA OVIDIO,,,12.4646,41.9061
5463546,2021-06-14T09:00:00Z,Strada Urbana,VIA ALDO SANDULLI,all'intersezione con,VIA DONATO MENICHELLA,VIA DONATO MENICHELLA,,,12.5859,41.9479
5464595,2021-06-14T09:05:00Z,Strada Urbana,CIRCONVALLAZIONE NOMENTANA,da specificare,,,,"dir.ne Salaria, altezzaVia Batteria Nomentana",12.5279,41.9264
5464361,2021-06-14T09:45:00Z,Strada Urbana,PIAZZALE JONIO,all'intersezione semaforizzata con,VIA DI VALLE MELAINA,VIA DI VALLE MELAINA,,,12.5261,41.9456
5464288,2021-06-14T14:05:00Z,Strada Urbana,VIA DI TORRENOVA,all'intersezione con,VIA DEL TORRACCIO DI TORRENOVA,VIA DEL TORRACCIO DI TORRENOVA,,,12.6183,41.8782
5464421,2021-06-14T14:15:00Z,Strada Urbana,VIA GAETANO MAZZONI,all'intersezione con,VIA DI MONTESPACCATO,VIA DI MONTESPACCATO,,,12.3936,41.9073
5464585,2021-06-14T14:25:00Z,Strada Urbana,VIA DELLA NOCETTA,all'intersezione con,VIA AURELIA ANTICA,VIA AURELIA ANTICA,,,12.432,41.8833
5464135,2021-06-14T14:30:00Z,Strada Urbana,VIA DELLE CAVE DI PIETRALATA,all'intersezione con,VIA CUPRA,VIA CUPRA,,,12.5373,41.9093
